	text	class	sample
0	Holger	1	0
1	Dainat	1	0
2	,	0	0
3	„	0	0
4	»	0	0
5	Erlösung	0	0
6	von	0	0
7	jenem	0	0
8	ertötenden	0	0
9	Historismus	0	0
10	*	0	0
11	.	0	0
12	Die	0	0
13	Neuere	0	0
14	deutsche	0	0
15	Literaturwissenschaft	0	0
16	zu	0	0
17	Beginn	0	0
18	der	0	0
19	zwanziger	0	0
20	Jahre	0	0
21	“	0	0
22	,	0	0
23	in	1	0
24	:	0	0
25	Wolfgang	0	0
26	Bialas	0	0
27	,	0	0
28	Gerard	0	0
29	Raulet	0	0
30	(	0	0
31	Hrsg	0	0
32	.	0	0
33	)	0	0
34	,	0	0
35	Die	0	0
36	Historismusdebatte	0	0
37	in	1	0
38	der	0	0
39	Weimarer	0	0
40	Republik	0	0
41	,	0	0
42	Frankfurt	0	0
43	a	1	0
44	.	0	0
45	M	0	0
46	.	0	0
47	usw	0	0
48	.	0	0
49	1996	0	0
50	,	0	0
51	248	0	0
52	-	0	0
53	271	0	0
54	,	0	0
55	hier	0	0
56	:	0	0
57	255	0	0
58	.	0	0
59	-	0	0
60	Zu	0	0
61	dieser	0	0
62	Schätzung	0	0
63	vgl	0	0
64	.	0	0
65	auch	0	0
66	Rainer	0	0
67	Kolk	0	0
68	,	0	0
69	„	0	0
70	Reflexionsformel	0	0
71	und	0	0
72	Ethikangebot	0	0
73	.	0	0
74	Zum	0	0
75	Beitrag	0	0
76	von	0	0
77	Max	0	0
78	Wehrli	0	0
79	“	0	0
80	,	0	0
81	in	1	0
82	:	0	0
83	König	0	0
84	,	0	0
85	Lämmert	0	0
86	(	0	0
87	Hrsg	0	0
88	.	0	0
89	)	0	0
90	,	0	0
91	Literaturwissenschaft	0	0
92	und	0	0
93	Geistesgeschichte	0	0
94	(	0	0
95	Anm	0	0
96	.	0	0
97	5	0	0
98	)	0	0
99	,	0	0
100	38	0	0
101	-	0	0
102	45	0	0
103	,	0	0
104	hier	0	0
105	:	0	0
106	39	0	0
107	.	0	0
108	Titel	0	1
109	des	0	1
110	römischen	0	1
111	Stifter	0	1
112	-	0	1
113	Gesprächs	0	1
114	.	0	1
115	)	0	2
116	qui	0	2
117	summum	0	2
118	bonum	0	2
119	sic	0	2
120	instituit	0	2
121	,	0	2
122	ut	0	2
123	nihil	0	2
124	habeat	0	2
125	cum	0	2
126	virtute	0	2
127	con	0	2
128	-	0	2
129	iunctum	0	2
130	.	0	2
131	Karl	1	3
132	Lowith	1	3
133	,	0	3
134	“	0	3
135	Max	0	3
136	Weber	0	3
137	und	0	3
138	seine	0	3
139	Nachfolger	0	3
140	,	0	3
141	”	0	3
