	text	class	sample
0	dazu	0	0
1	auch	0	0
2	D.	1	0
3	Sexty	1	0
4	,	0	0
5	PoS	0	0
6	LATTICE	0	0
7	2014	0	0
8	(	0	0
9	2015	0	0
10	)	0	0
11	[	0	0
12	arXiv:1410.8813	0	0
13	[	0	0
14	hep-lat	0	0
15	]].	0	0
16	C.	1	1
17	Gattringer	1	1
18	,	0	1
19	PoS	0	1
20	LAT-TICE2013	0	1
21	(	0	1
22	2014	0	1
23	)	0	1
24	002	0	1
25	[	0	1
26	arXiv:1401.7788	0	1
27	[	0	1
28	hep-lat	0	1
29	]].	0	1
30	Vgl	0	2
31	.	0	2
32	G	1	2
33	.Aarts	1	2
34	,	0	2
35	PoS	0	2
36	LATTICE	0	2
37	2012	0	2
38	(	0	2
39	2012	0	2
40	)	0	2
41	017	0	2
42	[	0	2
43	arXiv	0	2
44	:1302.3028	0	2
45	[	0	2
46	hep	0	2
47	-lat	0	2
48	]].	0	2
49	zu	0	3
50	<place_holder>	0	3
51	:	0	3
52	L.	1	3
53	Levkova	1	3
54	,	0	3
55	PoS	0	3
56	LATTICE	0	3
57	2011	0	3
58	(	0	3
59	2011	0	3
60	)	0	3
61	011	0	3
62	[	0	3
63	arXiv	0	3
64	:1201.1516	0	3
65	[	0	3
66	hep	0	3
67	-lat	0	3
68	]].	0	3
69	dazu	0	4
70	auch	0	4
71	S.Gupta	1	4
72	,	0	4
73	PoS	0	4
74	LATTICE2010	0	4
75	(	0	4
76	2010	0	4
77	)	0	4
78	007	0	4
79	[	0	4
80	arXiv	0	4
81	:	0	4
82	1101.0109	0	4
83	[	0	4
84	hep-	0	4
85	lat	0	4
86	]].	0	4
87	U.Wolff	1	5
88	,	0	5
89	PoS	0	5
90	LATTICE2010	0	5
91	(	0	5
92	2010	0	5
93	)	0	5
94	020	0	5
95	[	0	5
96	arXiv:	0	5
97	1009	0	5
98	.0657	0	5
99	[	0	5
100	hep-lat	0	5
101	]].	0	5
102	Vgl	0	6
103	.	0	6
104	P.deForcrand	1	6
105	,	0	6
106	PoS	0	6
107	LAT	0	6
108	2009	0	6
109	(	0	6
110	2009	0	6
111	)	0	6
112	010	0	6
113	[	0	6
114	arXiv:1005	0	6
115	.	0	6
116	0539	0	6
117	[	0	6
118	hep-lat	0	6
119	]	0	6
120	].	0	6
121	)	0	7
122	A.Li	1	7
123	,	0	7
124	PoS	0	7
125	LAT2009	0	7
126	(	0	7
127	2009	0	7
128	)	0	7
129	011	0	7
130	[	0	7
131	arXiv:1002	0	7
132	.	0	7
133	4459	0	7
134	[	0	7
135	hep-lat	0	7
136	]	0	7
137	].	0	7
138	dazu	0	8
139	S.Chandrasekharan	1	8
140	,	0	8
141	PoS	0	8
142	LATTICE	0	8
143	2008	0	8
144	(	0	8
145	2008	0	8
146	)	0	8
147	003	0	8
148	[	0	8
149	arXiv	0	8
150	:0810.	0	8
151	2419	0	8
152	[	0	8
153	hep-lat	0	8
154	]]	0	8
155	.	0	8
156	)	0	9
157	S.Ejiri	1	9
158	,	0	9
159	PoS	0	9
160	LATTICE	0	9
161	2008	0	9
162	(	0	9
163	2008	0	9
164	)	0	9
165	002	0	9
166	[	0	9
167	arXiv	0	9
168	:	0	9
169	0812.1534	0	9
170	[	0	9
171	hep-lat	0	9
172	]].	0	9
173	Vgl.	0	10
174	beispielsweise	0	10
175	T.	1	10
176	Sterling,	1	10
177	J.	1	10
178	Greensite	1	10
179	,	0	10
180	Nucl.	0	10
181	Phys.	0	10
182	B	0	10
183	220	0	10
184	(	0	10
185	1983	0	10
186	)	0	10
187	327	0	10
188	.	0	10
189	Vgl	0	11
190	.	0	11
191	M.	1	11
192	Panero	1	11
193	,	0	11
194	JHEP	0	11
195	0505	0	11
196	(	0	11
197	2005	0	11
198	)	0	11
199	066	0	11
200	[	0	11
201	hep-lat/0503024	0	11
202	].	0	11
203	beispielsweise	0	12
204	auch	0	12
205	M	1	12
206	.G.Endres	1	12
207	,	0	12
208	Phys	0	12
209	.Rev	0	12
210	.D	0	12
211	75	0	12
212	(	0	12
213	2007	0	12
214	)	0	12
215	065012	0	12
216	[	0	12
217	hep-lat/0610029	0	12
218	];	0	12
219	PoS	0	13
220	LAT06	0	13
221	(	0	13
222	2006	0	13
223	)	0	13
224	133	0	13
225	[	0	13
226	hep	0	13
227	-lat/0609037	0	13
228	].	0	13
229	Vgl.	0	14
230	beispielsweise	0	14
231	V.	1	14
232	Azcoiti,	1	14
233	E.	1	14
234	Follana,	1	14
235	A.	1	14
236	Vaquero,	1	14
237	G.	1	14
238	DiCarlo	1	14
239	,	0	14
240	JHEP	0	14
241	0908	0	14
242	(	0	14
243	2009	0	14
244	)	0	14
245	008	0	14
246	[	0	14
247	arXiv	0	14
248	:	0	14
249	0905.0639	0	14
250	[	0	14
251	hep-	0	14
252	lat	0	14
253	]].	0	14
254	zu	0	15
255	<place_holder>	0	15
256	vgl	0	15
257	.	0	15
258	T.Korzec	1	15
259	,U	1	15
260	.Wolff	1	15
261	,	0	15
262	PoS	0	15
263	LATTICE2010	0	15
264	(	0	15
265	2010	0	15
266	)	0	15
267	029	0	15
268	[	0	15
269	arXiv:	0	15
270	1011	0	15
271	.1359	0	15
272	[	0	15
273	hep-lat	0	15
274	]];	0	15
275	dazu	0	16
276	auch	0	16
277	PoS	0	16
278	LATTICE2013	0	16
279	(	0	16
280	2014	0	16
281	)	0	16
282	039	0	16
283	[	0	16
284	arXiv:	0	16
285	1309	0	16
286	.1331	0	16
287	[	0	16
288	hep-lat	0	16
289	]];	0	16
290	Vgl	0	17
291	.	0	17
292	T.Korzec,U	1	17
293	.Wolff	1	17
