	text	class	sample
1	D.	1	0
3	Sexty	1	0
4	,	0	0
7	PoS	0	0
11	LATTICE	0	0
13	2014	0	0
16	(	0	0
17	2015	0	0
18	)	0	0
20	[	0	0
21	arXiv:1410.8813	0	0
24	[	0	0
25	hep-lat	0	0
26	]].	0	0
33	C.	1	1
35	Gattringer	1	1
36	,	0	1
39	PoS	0	1
43	LAT-TICE2013	0	1
46	(	0	1
49	2014	0	1
50	)	0	1
51	002	0	1
54	[	0	1
57	arXiv:1401.7788	0	1
58	[	0	1
61	hep-lat	0	1
62	]].	0	1
69	G	1	2
71	.Aarts	1	2
74	,	0	2
75	PoS	0	2
79	LATTICE	0	2
81	2012	0	2
84	(	0	2
87	2012	0	2
88	)	0	2
89	017	0	2
92	[	0	2
93	arXiv	0	2
95	:1302.3028	0	2
96	[	0	2
97	hep	0	2
99	-lat	0	2
100	]].	0	2
107	L.	1	3
109	Levkova	1	3
110	,	0	3
113	PoS	0	3
115	LATTICE	0	3
117	2011	0	3
120	(	0	3
123	2011	0	3
126	)	0	3
127	011	0	3
128	[	0	3
131	arXiv	0	3
133	:1201.1516	0	3
134	[	0	3
135	hep	0	3
137	-lat	0	3
138	]].	0	3
145	S.Gupta	1	4
148	,	0	4
149	PoS	0	4
153	LATTICE2010	0	4
156	(	0	4
159	2010	0	4
162	)	0	4
165	007	0	4
166	[	0	4
167	arXiv	0	4
169	:	0	4
171	1101.0109	0	4
172	[	0	4
173	hep-	0	4
175	lat	0	4
176	]].	0	4
183	U.Wolff	1	5
186	,	0	5
187	PoS	0	5
191	LATTICE2010	0	5
194	(	0	5
195	2010	0	5
198	)	0	5
201	020	0	5
204	[	0	5
205	arXiv:	0	5
207	1009	0	5
209	.0657	0	5
210	[	0	5
211	hep-lat	0	5
214	]].	0	5
221	P.deForcrand	1	6
224	,	0	6
225	PoS	0	6
229	LAT	0	6
231	2009	0	6
232	(	0	6
235	2009	0	6
238	)	0	6
241	010	0	6
244	[	0	6
245	arXiv:1005	0	6
247	.	0	6
249	0539	0	6
250	[	0	6
251	hep-lat	0	6
252	]	0	6
254	].	0	6
261	A.Li	1	7
262	,	0	7
263	PoS	0	7
267	LAT2009	0	7
270	(	0	7
271	2009	0	7
274	)	0	7
277	011	0	7
280	[	0	7
283	arXiv:1002	0	7
285	.	0	7
287	4459	0	7
288	[	0	7
289	hep-lat	0	7
290	]	0	7
292	].	0	7
299	S.Chandrasekharan	1	8
300	,	0	8
301	PoS	0	8
303	LATTICE	0	8
305	2008	0	8
306	(	0	8
309	2008	0	8
310	)	0	8
313	003	0	8
316	[	0	8
319	arXiv	0	8
321	:0810.	0	8
323	2419	0	8
326	[	0	8
327	hep-lat	0	8
328	]]	0	8
330	.	0	8
337	S.Ejiri	1	9
338	,	0	9
339	PoS	0	9
341	LATTICE	0	9
343	2008	0	9
344	(	0	9
345	2008	0	9
348	)	0	9
349	002	0	9
352	[	0	9
355	arXiv	0	9
357	:	0	9
359	0812.1534	0	9
362	[	0	9
365	hep-lat	0	9
366	]].	0	9
373	T.	1	10
375	Sterling,	1	10
377	J.	1	10
379	Greensite	1	10
380	,	0	10
383	Nucl.	0	10
385	Phys.	0	10
387	B	0	10
391	220	0	10
394	(	0	10
395	1983	0	10
396	)	0	10
399	327	0	10
400	.	0	10
407	M.	1	11
409	Panero	1	11
410	,	0	11
413	JHEP	0	11
417	0505	0	11
420	(	0	11
421	2005	0	11
422	)	0	11
425	066	0	11
428	[	0	11
429	hep-lat/0503024	0	11
430	].	0	11
437	M	1	12
439	.G.Endres	1	12
442	,	0	12
443	Phys	0	12
445	.Rev	0	12
447	.D	0	12
451	75	0	12
454	(	0	12
457	2007	0	12
458	)	0	12
459	065012	0	12
462	[	0	12
465	hep-lat/0610029	0	12
466	];	0	12
473	PoS	0	13
477	LAT06	0	13
480	(	0	13
481	2006	0	13
484	)	0	13
485	133	0	13
486	[	0	13
489	hep	0	13
491	-lat/0609037	0	13
492	].	0	13
499	V.	1	14
501	Azcoiti,	1	14
503	E.	1	14
505	Follana,	1	14
507	A.	1	14
509	Vaquero,	1	14
511	G.	1	14
513	DiCarlo	1	14
516	,	0	14
519	JHEP	0	14
521	0908	0	14
524	(	0	14
527	2009	0	14
528	)	0	14
531	008	0	14
532	[	0	14
533	arXiv	0	14
535	:	0	14
537	0905.0639	0	14
538	[	0	14
539	hep-	0	14
541	lat	0	14
542	]].	0	14
549	T.Korzec	1	15
551	,U	1	15
553	.Wolff	1	15
556	,	0	15
557	PoS	0	15
561	LATTICE2010	0	15
564	(	0	15
567	2010	0	15
570	)	0	15
573	029	0	15
574	[	0	15
575	arXiv:	0	15
577	1011	0	15
579	.1359	0	15
580	[	0	15
581	hep-lat	0	15
584	]];	0	15
591	PoS	0	16
593	LATTICE2013	0	16
594	(	0	16
597	2014	0	16
600	)	0	16
603	039	0	16
606	[	0	16
607	arXiv:	0	16
609	1309	0	16
611	.1331	0	16
612	[	0	16
613	hep-lat	0	16
616	]];	0	16
623	T.Korzec,U	1	17
625	.Wolff	1	17
628	,	0	17
629	Nucl	0	17
631	.Phys	0	17
633	.B	0	17
637	871	0	17
638	(	0	17
641	2013	0	17
642	)	0	17
645	145	0	17
648	[	0	17
651	arXiv:1212	0	17
653	.	0	17
655	2875	0	17
656	[	0	17
657	hep-lat	0	17
658	]	0	17
660	].	0	17
667	P.N.Meisinger	1	18
669	,M.C.	1	18
671	Ogilvie	1	18
672	,	0	18
675	arXiv:1306.	0	18
677	1495	0	18
678	[	0	18
681	hep-lat	0	18
682	].	0	18
689	C.Gattringer,A.	1	19
691	Schmidt	1	19
692	,	0	19
695	Phys.	0	19
697	Rev.	0	19
699	D	0	19
701	86	0	19
704	(	0	19
705	2012	0	19
708	)	0	19
709	094506	0	19
712	[	0	19
713	arXiv	0	19
715	:	0	19
717	1208.6472	0	19
720	[	0	19
723	hep-lat	0	19
724	]].	0	19
731	Y.D.Mercado,C	1	20
733	.Gattringer,A	1	20
735	.Schmidt	1	20
738	,	0	20
739	Phys	0	20
741	.Rev	0	20
743	.Lett	0	20
745	.	0	20
747	111	0	20
750	(	0	20
751	2013	0	20
752	)	0	20
755	14	0	20
756	,	0	20
759	141601	0	20
760	[	0	20
763	arXiv	0	20
765	:1307.	0	20
767	6120	0	20
768	[	0	20
771	hep	0	20
773	-lat	0	20
774	]];	0	20
781	Comput	0	21
783	.Phys.Commun.	0	21
785	184	0	21
786	(	0	21
789	2013	0	21
790	)	0	21
793	1535	0	21
794	[	0	21
797	arXiv:	0	21
799	1211.	0	21
801	3436	0	21
802	[	0	21
803	hep	0	21
805	-	0	21
807	lat	0	21
808	]].	0	21
815	A.	1	22
817	Schmidt,P.deForcrand,	1	22
819	C.	1	22
821	Gattringer	1	22
822	,	0	22
825	PoS	0	22
827	Lattice	0	22
829	2014	0	22
832	(	0	22
833	2015	0	22
836	)	0	22
837	209	0	22
840	[	0	22
841	arXiv	0	22
843	:	0	22
845	1501.	0	22
847	06472	0	22
850	[	0	22
851	hep-	0	22
853	lat	0	22
856	]].	0	22
863	C.	1	23
865	Gattringer,	1	23
867	T.	1	23
869	Kloiber,	1	23
871	M.	1	23
873	Müller-Preussker	1	23
874	,	0	23
877	Phys.	0	23
879	Rev.	0	23
881	D	0	23
885	92	0	23
